A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
Ember Resources Inc.,1051,162498.1,Aspenleaf Energy Limited,317,80822.2,80672.4,99.81,49.65,49.6
Gran Tierra Canada Ltd.,426,192549.8,Aspenleaf Energy Limited,317,80822.2,80318.4,99.38,41.71,41.6
Spartan Delta Corp.,446,150254.0,Gear Energy Ltd.,677,155908.7,80240.2,53.4,51.47,35.52
Strathcona Resources Ltd.,739,328898.8,Aspenleaf Energy Limited,317,80822.2,79972.6,98.95,24.32,24.25
Aspenleaf Energy Limited,317,80822.2,Saturn Oil & Gas Inc.,554,282073.0,79946.4,98.92,28.34,28.25
West Lake Energy Corp.,1130,344640.8,Aspenleaf Energy Limited,317,80822.2,79931.8,98.9,23.19,23.13
InPlay Oil Corp.,306,113272.0,Spartan Delta Corp.,446,150254.0,79769.4,70.42,53.09,43.41
Surge Energy Inc.,1509,268684.9,Aspenleaf Energy Limited,317,80822.2,79619.9,98.51,29.63,29.5
Gran Tierra Canada Ltd.,426,192549.8,InPlay Oil Corp.,306,113272.0,79532.3,70.21,41.3,35.15
Suncor Energy Inc.,2060,255998.9,Axiom Oil and Gas Inc.,298,105167.2,79447.8,75.54,31.03,28.2
Obsidian Energy Ltd.,1729,323028.8,Aspenleaf Energy Limited,317,80822.2,79346.3,98.17,24.56,24.45
Axiom Oil and Gas Inc.,298,105167.2,Ovintiv Canada ULC,276,195983.6,78674.8,74.81,40.14,35.36
Trident Exploration (Alberta) Corp.,826,130806.1,Gear Energy Ltd.,677,155908.7,78634.7,60.12,50.44,37.79
Whitecap Resources Inc.,613,295046.7,Aspenleaf Energy Limited,317,80822.2,78595.8,97.25,26.64,26.44
Aspenleaf Energy Limited,317,80822.2,Canadian Oil & Gas International Inc.,454,344600.4,78511.1,97.14,22.78,22.63
Aspenleaf Energy Limited,317,80822.2,Sinopec Canada Energy Ltd.,429,242470.3,78419.2,97.03,32.34,32.02
LGX Oil + Gas Inc.,308,95116.4,Canadian Oil & Gas International Inc.,454,344600.4,78003.6,82.01,22.64,21.57
Imperial Oil Resources Limited,1699,479238.5,LGX Oil + Gas Inc.,308,95116.4,77798.6,81.79,16.23,15.67
LGX Oil + Gas Inc.,308,95116.4,Spartan Delta Corp.,446,150254.0,77728.1,81.72,51.73,46.37
Axiom Oil and Gas Inc.,298,105167.2,Spartan Delta Corp.,446,150254.0,77666.6,73.85,51.69,43.69
LGX Oil + Gas Inc.,308,95116.4,Manitok Energy Inc.,482,332570.5,77312.2,81.28,23.25,22.07
Ipc Canada Ltd.,1777,256449.7,LGX Oil + Gas Inc.,308,95116.4,77200.2,81.16,30.1,28.14
Spoke Resources Ltd.,547,216872.9,Gear Energy Ltd.,677,155908.7,76377.5,48.99,35.22,25.77
Vermilion Energy Inc.,321,323169.2,LGX Oil + Gas Inc.,308,95116.4,76170.2,80.08,23.57,22.26
Aspenleaf Energy Limited,317,80822.2,Veren Inc.,664,274382.3,76135.8,94.2,27.75,27.28
Trident Exploration (Alberta) Corp.,826,130806.1,Sequoia Resources Corp.,816,236179.8,75373.0,57.62,31.91,25.85
Ember Resources Inc.,1051,162498.1,Pine Cliff Energy Ltd.,1526,167838.9,75283.4,46.33,44.85,29.52
Sinopec Canada Energy Ltd.,429,242470.3,Trident Exploration (Alberta) Corp.,826,130806.1,75213.7,57.5,31.02,25.23
Sinopec Canada Energy Ltd.,429,242470.3,Pine Cliff Energy Ltd.,1526,167838.9,75144.7,44.77,30.99,22.42
Houston Oil & Gas Ltd.,757,201799.0,LGX Oil + Gas Inc.,308,95116.4,75130.7,78.99,37.23,33.88
Ember Resources Inc.,1051,162498.1,Spartan Delta Corp.,446,150254.0,75108.7,49.99,46.22,31.61
Axiom Oil and Gas Inc.,298,105167.2,Houston Oil & Gas Ltd.,757,201799.0,74797.7,71.12,37.07,32.22
LGX Oil + Gas Inc.,308,95116.4,Questfire Energy Corp.,673,223552.9,74079.0,77.88,33.14,30.29
Aspenleaf Energy Limited,317,80822.2,Cardinal Energy Ltd.,844,283267.6,73813.2,91.33,26.06,25.43
LGX Oil + Gas Inc.,308,95116.4,Tourmaline Oil Corp.,1331,374838.5,73797.5,77.59,19.69,18.63
Aspenleaf Energy Limited,317,80822.2,Tamarack Valley Energy Ltd.,634,286414.6,73497.7,90.94,25.66,25.02
Suncor Energy Inc.,2060,255998.9,Houston Oil & Gas Ltd.,757,201799.0,73131.4,36.24,28.57,19.01
Surge Energy Inc.,1509,268684.9,LGX Oil + Gas Inc.,308,95116.4,72906.8,76.65,27.13,25.06
Cardinal Energy Ltd.,844,283267.6,LGX Oil + Gas Inc.,308,95116.4,72860.3,76.6,25.72,23.85
Ipc Canada Ltd.,1777,256449.7,InPlay Oil Corp.,306,113272.0,72806.3,64.28,28.39,24.52
Spartan Delta Corp.,446,150254.0,Sequoia Resources Corp.,816,236179.8,71658.2,47.69,30.34,22.76
Axiom Oil and Gas Inc.,298,105167.2,Trident Exploration (Alberta) Corp.,826,130806.1,71477.7,67.97,54.64,43.45
Suncor Energy Inc.,2060,255998.9,Ovintiv Canada ULC,276,195983.6,71248.6,36.35,27.83,18.71
Trident Exploration (Alberta) Corp.,826,130806.1,Veren Inc.,664,274382.3,71199.7,54.43,25.95,21.32
Trident Exploration (Alberta) Corp.,826,130806.1,Bonterra Energy Corp.,716,112752.0,71061.0,63.02,54.33,41.2
Paramount Resources Ltd.,1961,420095.3,LGX Oil + Gas Inc.,308,95116.4,70990.1,74.64,16.9,15.98
Veren Inc.,664,274382.3,Spartan Delta Corp.,446,150254.0,70783.9,47.11,25.8,20.0
Baytex Energy Ltd.,999,327003.4,LGX Oil + Gas Inc.,308,95116.4,70297.0,73.91,21.5,19.98
Aspenleaf Energy Limited,317,80822.2,Sequoia Resources Corp.,816,236179.8,70243.3,86.91,29.74,28.47
Bonterra Energy Corp.,716,112752.0,Pine Cliff Energy Ltd.,1526,167838.9,70031.2,62.11,41.73,33.26
Journey Energy Inc.,408,156544.0,Spoke Resources Ltd.,547,216872.9,69942.5,44.68,32.25,23.05
Ember Resources Inc.,1051,162498.1,Axiom Oil and Gas Inc.,298,105167.2,69271.0,65.87,42.63,34.92
Spoke Resources Ltd.,547,216872.9,Bonterra Energy Corp.,716,112752.0,69255.9,61.42,31.93,26.6
LGX Oil + Gas Inc.,308,95116.4,Ovintiv Canada ULC,276,195983.6,69119.8,72.67,35.27,31.14
Suncor Energy Inc.,2060,255998.9,Spartan Delta Corp.,446,150254.0,69061.9,45.96,26.98,20.48
Axiom Oil and Gas Inc.,298,105167.2,InPlay Oil Corp.,306,113272.0,68909.6,65.52,60.84,46.08
Gran Tierra Canada Ltd.,426,192549.8,Spartan Delta Corp.,446,150254.0,68788.3,45.78,35.72,25.1
Blue Sky Resources Ltd.,983,376771.1,LGX Oil + Gas Inc.,308,95116.4,68614.7,72.14,18.21,17.01
Spoke Resources Ltd.,547,216872.9,Aspenleaf Energy Limited,317,80822.2,68451.9,84.69,31.56,29.86
LGX Oil + Gas Inc.,308,95116.4,Pine Cliff Energy Ltd.,1526,167838.9,68346.2,71.86,40.72,35.12
Sinopec Canada Energy Ltd.,429,242470.3,Spartan Delta Corp.,446,150254.0,68038.5,45.28,28.06,20.96
ConocoPhillips Canada Resources Corp.,924,472212.7,LGX Oil + Gas Inc.,308,95116.4,67971.9,71.46,14.39,13.61
Houston Oil & Gas Ltd.,757,201799.0,Aspenleaf Energy Limited,317,80822.2,67648.7,83.7,33.52,31.47
Aspenleaf Energy Limited,317,80822.2,Questfire Energy Corp.,673,223552.9,66810.7,82.66,29.89,28.12
Bonterra Energy Corp.,716,112752.0,Spartan Delta Corp.,446,150254.0,66346.1,58.84,44.16,33.74
Journey Energy Inc.,408,156544.0,LGX Oil + Gas Inc.,308,95116.4,65915.6,69.3,42.11,35.49
Whitecap Resources Inc.,613,295046.7,LGX Oil + Gas Inc.,308,95116.4,64429.9,67.74,21.84,19.78
Ipc Canada Ltd.,1777,256449.7,Bonterra Energy Corp.,716,112752.0,64263.8,57.0,25.06,21.07
CNOOC Petroleum North America ULC,627,277977.6,LGX Oil + Gas Inc.,308,95116.4,63040.2,66.28,22.68,20.33
Axiom Oil and Gas Inc.,298,105167.2,Bonterra Energy Corp.,716,112752.0,62873.1,59.78,55.76,40.55
Lexin Resources Ltd.,852,334562.2,LGX Oil + Gas Inc.,308,95116.4,62514.3,65.72,18.69,17.03
Gran Tierra Canada Ltd.,426,192549.8,Pine Cliff Energy Ltd.,1526,167838.9,61550.2,36.67,31.97,20.6
Suncor Energy Inc.,2060,255998.9,Trident Exploration (Alberta) Corp.,826,130806.1,61463.0,46.99,24.01,18.89
Suncor Energy Inc.,2060,255998.9,Ember Resources Inc.,1051,162498.1,61378.1,37.77,23.98,17.19
Aspenleaf Energy Limited,317,80822.2,AlphaBow Energy Ltd.,1490,281555.9,61362.2,75.92,21.79,20.39
Aspenleaf Energy Limited,317,80822.2,Gear Energy Ltd.,677,155908.7,61215.4,75.74,39.26,34.88
CNOOC Petroleum North America ULC,627,277977.6,Aspenleaf Energy Limited,317,80822.2,60293.6,74.6,21.69,20.2
Trident Exploration (Alberta) Corp.,826,130806.1,LGX Oil + Gas Inc.,308,95116.4,58285.7,61.28,44.56,34.77
Journey Energy Inc.,408,156544.0,Aspenleaf Energy Limited,317,80822.2,58191.0,72.0,37.17,32.48
LGX Oil + Gas Inc.,308,95116.4,Saturn Oil & Gas Inc.,554,282073.0,56096.9,58.98,19.89,17.47
